ticker,mentions,posts_found,total_signals,skipped_too_short,bullish_count,bearish_count,neutral_count,bullish_pct,bearish_pct,neutral_pct,total_pos_hits,total_neg_hits,total_bigrams,avg_sentiment_score,corpus_sentiment_score,overall_sentiment
ALRN,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,259,0.0,0.0,neutral
ALTO,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,201,0.0,0.0,neutral
DDD,1,1,1,0,0,0,1,0.0,0.0,100.0,1,1,558,0.0,0.0,neutral
DMN,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,22,0.0,0.0,neutral
DOUG,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,61,0.0,0.0,neutral
DRIO,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,28,0.0,0.0,neutral
EGIO,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,118,0.0,0.0,neutral
ENG,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,32,0.0,0.0,neutral
ERAS,1,1,1,0,0,0,1,0.0,0.0,100.0,1,1,467,0.0,0.0,neutral
ERNA,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,19,0.0,0.0,neutral
FTEK,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,384,0.0,0.0,neutral
VCNX,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,201,0.0,0.0,neutral
VEEE,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,17,0.0,0.0,neutral
VERI,1,1,1,0,0,1,0,0.0,100.0,0.0,1,2,132,-0.007576,-0.007576,bearish
VIEW,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,834,0.001199,0.001199,bullish
VNCE,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,230,0.004348,0.004348,bullish
VRCA,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,34,0.0,0.0,neutral
VTYX,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,102,0.0,0.0,neutral
VUZI,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,26,0.0,0.0,neutral
VYNE,1,1,1,0,1,0,0,100.0,0.0,0.0,2,1,327,0.003058,0.003058,bullish
XERS,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,24,0.0,0.0,neutral
XLO,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,37,0.0,0.0,neutral
XWEL,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,841,0.001189,0.001189,bullish
