ticker,mentions,posts_found,total_signals,skipped_too_short,bullish_count,bearish_count,neutral_count,bullish_pct,bearish_pct,neutral_pct,total_pos_hits,total_neg_hits,total_bigrams,avg_sentiment_score,corpus_sentiment_score,overall_sentiment
AKTS,131,131,124,7,39,31,54,31.5,25.0,43.5,167,131,49731,0.001025,0.000724,bullish
BBAI,57,57,55,2,4,6,45,7.3,10.9,81.8,31,36,10506,-0.000109,-0.000476,bearish
BIG,95,95,94,1,19,21,54,20.2,22.3,57.4,77,77,44252,-0.00036,0.0,bearish
CRKN,83,83,61,22,7,8,46,11.5,13.1,75.4,11,12,5593,-0.003576,-0.000179,bearish
CTM,124,124,119,5,14,17,88,11.8,14.3,73.9,34,39,20660,-0.001458,-0.000242,bearish
EVA,78,78,70,8,5,5,60,7.1,7.1,85.7,5,7,4910,0.000698,-0.000407,neutral
FFIE,239,239,214,25,7,16,191,3.3,7.5,89.3,17,30,15719,-0.000936,-0.000827,bearish
GWAV,74,74,66,8,6,6,54,9.1,9.1,81.8,15,15,5182,-0.005826,0.0,neutral
ICU,89,89,85,4,6,10,69,7.1,11.8,81.2,10,17,11639,-0.000498,-0.000601,bearish
JAGX,59,59,52,7,5,7,40,9.6,13.5,76.9,14,17,7193,0.000113,-0.000417,bearish
KULR,429,429,402,27,46,67,289,11.4,16.7,71.9,114,128,54339,-0.001502,-0.000258,bearish
LODE,147,147,139,8,11,18,110,7.9,12.9,79.1,19,30,12814,-0.002461,-0.000858,bearish
MIMO,51,51,50,1,23,21,6,46.0,42.0,12.0,118,94,35020,0.002134,0.000685,bullish
MVST,53,53,50,3,17,8,25,34.0,16.0,50.0,74,49,11317,0.00274,0.002209,bullish
OCGN,60,60,58,2,6,10,42,10.3,17.2,72.4,11,24,17188,0.000485,-0.000756,bearish
OPTT,194,194,179,15,12,37,130,6.7,20.7,72.6,24,80,20106,-0.00359,-0.002785,bearish
OSTX,53,53,50,3,6,14,30,12.0,28.0,60.0,11,25,17220,-0.000735,-0.000813,bearish
PEGY,46,46,38,8,5,1,32,13.2,2.6,84.2,9,1,1794,0.000935,0.004459,bullish
PRSO,48,48,48,0,13,7,28,27.1,14.6,58.3,27,18,9137,0.003202,0.000985,bullish
RCAT,69,69,68,1,12,15,41,17.6,22.1,60.3,40,34,20134,0.000787,0.000298,bearish
RGTI,63,63,57,6,2,7,48,3.5,12.3,84.2,9,18,8153,-0.001908,-0.001104,bearish
RNXT,52,52,52,0,13,12,27,25.0,23.1,51.9,24,22,23500,-3.1e-05,8.5e-05,bullish
RR,48,48,46,2,3,8,35,6.5,17.4,76.1,16,29,9065,-0.001067,-0.001434,bearish
SLS,45,45,45,0,30,3,12,66.7,6.7,26.7,123,33,20940,0.011074,0.004298,bullish
TNXP,72,72,71,1,5,19,47,7.0,26.8,66.2,7,26,10880,-0.00444,-0.001746,bearish
