ticker,mentions,posts_found,total_signals,skipped_too_short,bullish_count,bearish_count,neutral_count,bullish_pct,bearish_pct,neutral_pct,total_uni_pos_hits,total_uni_neg_hits,total_bi_pos_hits,total_bi_neg_hits,total_tokens,total_bigrams,avg_combined_score,corpus_combined_score,overall_sentiment
ALRN,1,1,1,0,1,0,0,100.0,0.0,0.0,5,4,0,0,260,259,0.001923,0.001923,bullish
ALTO,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,0,0,202,201,0.002475,0.002475,bullish
DDD,1,1,1,0,1,0,0,100.0,0.0,0.0,12,11,1,1,559,558,0.000894,0.000894,bullish
DMN,1,1,1,0,1,0,0,100.0,0.0,0.0,2,0,0,0,23,22,0.043478,0.043478,bullish
DOUG,1,1,1,0,1,0,0,100.0,0.0,0.0,3,0,0,0,62,61,0.024194,0.024194,bullish
DRIO,1,1,1,0,1,0,0,100.0,0.0,0.0,2,0,0,0,29,28,0.034483,0.034483,bullish
EGIO,1,1,1,0,1,0,0,100.0,0.0,0.0,6,0,0,0,119,118,0.02521,0.02521,bullish
ENG,1,1,1,0,1,0,0,100.0,0.0,0.0,3,0,0,0,33,32,0.045455,0.045455,bullish
ERAS,1,1,1,0,1,0,0,100.0,0.0,0.0,10,3,1,1,468,467,0.007479,0.007479,bullish
ERNA,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,0,0,20,19,0.0,0.0,neutral
FTEK,1,1,1,0,0,1,0,0.0,100.0,0.0,4,8,0,0,385,384,-0.005195,-0.005195,bearish
VCNX,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,0,0,202,201,0.002475,0.002475,bullish
VEEE,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,0,0,18,17,0.0,0.0,neutral
VERI,1,1,1,0,0,1,0,0.0,100.0,0.0,1,3,1,2,133,132,-0.011307,-0.011307,bearish
VIEW,1,1,1,0,1,0,0,100.0,0.0,0.0,12,9,1,0,835,834,0.002396,0.002396,bullish
VIRI,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,0,0,5,4,0.0,0.0,neutral
VNCE,1,1,1,0,1,0,0,100.0,0.0,0.0,4,3,1,0,231,230,0.004338,0.004338,bullish
VRCA,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,0,0,35,34,0.014286,0.014286,bullish
VTYX,1,1,1,0,1,0,0,100.0,0.0,0.0,2,0,0,0,103,102,0.009709,0.009709,bullish
VUZI,1,1,1,0,1,0,0,100.0,0.0,0.0,2,0,0,0,27,26,0.037037,0.037037,bullish
VYNE,1,1,1,0,0,1,0,0.0,100.0,0.0,0,5,2,1,328,327,-0.006093,-0.006093,bearish
XERS,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,0,0,25,24,0.0,0.0,neutral
XLO,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,0,0,38,37,0.0,0.0,neutral
XWEL,1,1,1,0,1,0,0,100.0,0.0,0.0,19,3,1,0,842,841,0.010096,0.010096,bullish
