ticker,mentions,posts_found,total_signals,skipped_too_short,bullish_count,bearish_count,neutral_count,bullish_pct,bearish_pct,neutral_pct,total_uni_pos_hits,total_uni_neg_hits,total_bi_pos_hits,total_bi_neg_hits,total_tokens,total_bigrams,avg_combined_score,corpus_combined_score,overall_sentiment
AKTS,131,131,129,2,57,49,23,44.2,38.0,17.8,976,910,167,131,49880,49751,0.004578,0.001023,bullish
BBAI,57,57,56,1,29,9,18,51.8,16.1,32.1,212,141,31,36,10566,10510,0.003553,0.003122,bullish
BIG,95,95,94,1,55,27,12,58.5,28.7,12.8,950,678,77,77,44346,44252,0.002865,0.003067,bullish
CRKN,83,83,66,17,25,15,26,37.9,22.7,39.4,153,103,11,12,5679,5613,0.005899,0.004313,bullish
CTM,124,124,122,2,63,19,40,51.6,15.6,32.8,466,190,34,39,20794,20672,0.00541,0.006516,bullish
EVA,78,78,73,5,27,25,21,37.0,34.2,28.8,109,84,5,7,4995,4922,0.000182,0.002299,bullish
FFIE,239,239,229,10,69,46,114,30.1,20.1,49.8,384,310,17,30,16008,15779,0.004922,0.001899,bullish
GWAV,74,74,69,5,30,8,31,43.5,11.6,44.9,178,73,15,15,5263,5194,0.009866,0.009975,bullish
ICU,89,89,88,1,31,24,33,35.2,27.3,37.5,187,174,10,17,11739,11651,0.00162,0.000253,bullish
JAGX,59,59,53,6,25,11,17,47.2,20.8,32.1,220,136,14,17,7250,7197,0.010525,0.005585,bullish
KULR,429,429,409,20,192,92,125,46.9,22.5,30.6,1491,829,114,128,54776,54367,0.004928,0.005914,bullish
LODE,147,147,143,4,66,32,45,46.2,22.4,31.5,360,184,19,30,12973,12830,0.004348,0.006355,bullish
MIMO,51,51,50,1,27,21,2,54.0,42.0,4.0,690,589,118,94,35070,35020,0.004208,0.001783,bullish
MVST,53,53,51,2,36,8,7,70.6,15.7,13.7,430,164,74,49,11372,11321,0.014439,0.0128,bullish
OCGN,60,60,59,1,20,23,16,33.9,39.0,27.1,271,262,11,24,17251,17192,0.001408,-0.000117,bearish
OPTT,194,194,184,10,81,40,63,44.0,21.7,34.2,540,345,24,80,20310,20126,0.006151,0.003409,bullish
OSTX,53,53,53,0,38,5,10,71.7,9.4,18.9,444,192,11,25,17285,17232,0.0078,0.006883,bullish
PEGY,46,46,43,3,16,4,23,37.2,9.3,53.5,65,24,9,1,1857,1814,0.019409,0.013244,bullish
PRSO,48,48,48,0,42,2,4,87.5,4.2,8.3,264,120,27,18,9185,9137,0.015453,0.008331,bullish
RCAT,69,69,69,0,44,15,10,63.8,21.7,14.5,514,338,40,34,20207,20138,0.009482,0.004504,bullish
RGTI,63,63,59,4,29,13,17,49.2,22.0,28.8,199,93,9,18,8220,8161,0.003465,0.005896,bullish
RNXT,52,52,52,0,38,10,4,73.1,19.2,7.7,609,297,24,22,23552,23500,0.006968,0.006666,bullish
RR,48,48,47,1,19,18,10,40.4,38.3,21.3,214,156,16,29,9116,9069,-0.001005,0.002464,bullish
SLS,45,45,45,0,30,11,4,66.7,24.4,8.9,324,344,123,33,20985,20940,0.006998,0.001672,bullish
TNXP,72,72,71,1,31,19,21,43.7,26.8,29.6,220,165,7,26,10951,10880,0.005206,0.001638,bullish
