ticker,mentions,posts_found,total_signals,skipped_too_short,bullish_count,bearish_count,neutral_count,bullish_pct,bearish_pct,neutral_pct,total_pos_hits,total_neg_hits,total_tokens,avg_sentiment_score,corpus_sentiment_score,overall_sentiment
ALRN,1,1,1,0,1,0,0,100.0,0.0,0.0,5,4,260,0.003846,0.003846,bullish
ALTO,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,202,0.00495,0.00495,bullish
DDD,1,1,1,0,1,0,0,100.0,0.0,0.0,12,11,559,0.001789,0.001789,bullish
DMN,1,1,1,0,1,0,0,100.0,0.0,0.0,2,0,23,0.086957,0.086957,bullish
DOUG,1,1,1,0,1,0,0,100.0,0.0,0.0,3,0,62,0.048387,0.048387,bullish
DRIO,1,1,1,0,1,0,0,100.0,0.0,0.0,2,0,29,0.068966,0.068966,bullish
EGIO,1,1,1,0,1,0,0,100.0,0.0,0.0,6,0,119,0.05042,0.05042,bullish
ENG,1,1,1,0,1,0,0,100.0,0.0,0.0,3,0,33,0.090909,0.090909,bullish
ERAS,1,1,1,0,1,0,0,100.0,0.0,0.0,10,3,468,0.014957,0.014957,bullish
ERNA,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,20,0.0,0.0,neutral
FTEK,1,1,1,0,0,1,0,0.0,100.0,0.0,4,8,385,-0.01039,-0.01039,bearish
VCNX,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,202,0.00495,0.00495,bullish
VEEE,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,18,0.0,0.0,neutral
VERI,1,1,1,0,0,1,0,0.0,100.0,0.0,1,3,133,-0.015038,-0.015038,bearish
VIEW,1,1,1,0,1,0,0,100.0,0.0,0.0,12,9,835,0.003593,0.003593,bullish
VIRI,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,5,0.0,0.0,neutral
VNCE,1,1,1,0,1,0,0,100.0,0.0,0.0,4,3,231,0.004329,0.004329,bullish
VRCA,1,1,1,0,1,0,0,100.0,0.0,0.0,1,0,35,0.028571,0.028571,bullish
VTYX,1,1,1,0,1,0,0,100.0,0.0,0.0,2,0,103,0.019417,0.019417,bullish
VUZI,1,1,1,0,1,0,0,100.0,0.0,0.0,2,0,27,0.074074,0.074074,bullish
VYNE,1,1,1,0,0,1,0,0.0,100.0,0.0,0,5,328,-0.015244,-0.015244,bearish
XERS,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,25,0.0,0.0,neutral
XLO,1,1,1,0,0,0,1,0.0,0.0,100.0,0,0,38,0.0,0.0,neutral
XWEL,1,1,1,0,1,0,0,100.0,0.0,0.0,19,3,842,0.019002,0.019002,bullish
