date,month,permno,ticker,prc,weekly_ret,monthly_ret
2024-01-05,2024-01,16613,MTNB,0.2149,-0.006013829735243448,-0.07493341939941323
2024-01-05,2024-01,23185,HSCS,0.1674,-0.02105264756036096,-0.1239774336330024
2024-01-05,2024-01,17345,AIHS,0.4624,0.1278050281911971,0.40975466983674047
2024-01-05,2024-01,21417,SBEV,0.5101,-0.07657559666821934,-0.275886982671007
2024-01-05,2024-01,19197,CURI,0.5378,-0.004258483593507334,-0.033696318372903544
2024-01-05,2024-01,19180,JSPR,0.699,-0.11406831161500008,-0.11406831161500008
2024-01-05,2024-01,15960,CRVS,1.87,0.0625,0.031402750000000035
2024-01-05,2024-01,12592,XTNT,1.19,0.05309926294438139,-0.18584010200602574
2024-01-05,2024-01,14093,BYU,1.51,-0.07926835791211218,-0.14634277869446577
2024-01-05,2024-01,19146,MNTS,1.42,-0.17919127064758777,-0.4104041727629685
2024-01-05,2024-01,22952,MGLD,1.05,-0.009434152906839244,-0.04245282627764624
2024-01-05,2024-01,20637,UGRO,1.69,0.20714275337723298,0.18571646554335186
2024-01-05,2024-01,87053,GNSS,1.8,-0.11330086436708309,-0.22660151431324815
2024-01-05,2024-01,22589,SPEC,1.68,0.018182183412393416,-0.19821757118112837
2024-01-05,2024-01,17351,COCP,1.815,0.05388449936479667,-0.07676285888754764
2024-01-05,2024-01,91201,IGC,0.2829,0.009995546640175323,0.035343620168583056
2024-01-05,2024-01,20638,BNZI,1.66,-0.11702075425524983,-0.3597661432064839
2024-01-05,2024-01,15184,TCON,0.174,-0.006282144101331766,0.08223946468497156
2024-01-05,2024-01,21412,KULR,0.193,0.04324233270618927,-0.04000363797074802
2024-01-05,2024-01,15943,IZEA,1.99,-0.019703999999999944,-0.04396867985538566
2024-01-05,2024-01,22793,SBFM,0.264,-0.027624042390518855,-0.05708999671812098
2024-01-05,2024-01,19142,MNPR,0.4244,0.24750251224058895,-0.013813331497637749
2024-01-05,2024-01,90088,MCHX,1.29,-0.051470221305928265,-1.0739353392130724e-06
2024-01-05,2024-01,92466,OESX,0.98,0.13085727945371817,0.17701557883939212
2024-01-05,2024-01,87121,SALM,0.3227,-0.17256391273877403,-0.33102518998784525
2024-01-05,2024-01,15177,SLRX,0.641,-0.01384686997444251,-0.15538589304835548
2024-01-05,2024-01,15961,DRIO,1.63,-0.05232589991021286,0.06075917232527517
2024-01-05,2024-01,23101,ASNS,1.23,0.0982141528370497,0.00892930890125343
2024-01-05,2024-01,12579,GEVO,1.1,-0.05172357104131331,-0.19500169869654504
2024-01-05,2024-01,19352,NVVE,0.1061,-0.14779223172254952,-0.7137299014166074
2024-01-05,2024-01,15132,OCGN,0.669,0.1634781613331855,-0.06799937919098287
2024-01-05,2024-01,87532,RDI,1.96,-0.057691999999999966,-0.12616766676942748
2024-01-05,2024-01,24079,SXTP,1.11,0.08823614299487947,-0.7250977285385956
2024-01-05,2024-01,20623,RELI,0.5549,0.03333281828954271,-0.16014901770539025
2024-01-05,2024-01,21513,ALZN,0.95,0.06741592508036742,-0.03370634212666501
2024-01-05,2024-01,87439,IDN,1.67,-0.12105282053547284,-0.09999925381790531
2024-01-05,2024-01,19331,MPLN,1.28,-0.11111172443537698,-0.29861151977132094
2024-01-05,2024-01,24099,SRM,1.74,0.12258040058487496,-0.032257571759372716
2024-01-05,2024-01,24656,INHD,1.4,-0.02777777554494476,-0.2222229005476487
2024-01-05,2024-01,19251,PASG,0.927,-0.08217914095350753,-0.029703568484809928
2024-01-05,2024-01,17326,KERN,0.373,-0.14253060072749213,-0.19517157339288405
2024-01-05,2024-01,14107,TNXP,0.3714,-0.07841250488909013,-0.20595473853632518
2024-01-05,2024-01,91269,CBAT,1.13,0.07619034640027822,-7.043622424207641e-07
2024-01-05,2024-01,21860,SHFS,1.43,0.007042546247472137,-0.2746468050431736
